Area,Time Period,Occupation,Occupation Code,Job Openings,New Job Postings
Hawaii,October 2023,Architecture and Engineering Occupations,17000000,875,286
Hawaii,October 2023,Arts; Design; Entertainment; Sports; and Media Occ,27000000,449,178
Hawaii,October 2023,Building and Grounds Cleaning and Maintenance Occu,37000000,848,341
Hawaii,October 2023,Business and Financial Operations Occupations,13000000,924,335
Hawaii,October 2023,Community and Social Service Occupations,21000000,543,147
Hawaii,October 2023,Computer and Mathematical Occupations,15000000,928,372
Hawaii,October 2023,Construction and Extraction Occupations,47000000,311,122
Hawaii,October 2023,Educational Instruction and Library Occupations,25000000,474,139
Hawaii,October 2023,Farming; Fishing; and Forestry Occupations,45000000,43,16
Hawaii,October 2023,Food Preparation and Serving Related Occupations,35000000,2,272,941
Hawaii,October 2023,Healthcare Practitioners and Technical Occupations,29000000,4,254,1,473
Hawaii,October 2023,Healthcare Support Occupations,31000000,900,328
Hawaii,October 2023,Installation; Maintenance; and Repair Occupations,49000000,899,324
Hawaii,October 2023,Legal Occupations,23000000,112,35
Hawaii,October 2023,Life; Physical; and Social Science Occupations,19000000,345,143
Hawaii,October 2023,Management Occupations,11000000,2,478,995
Hawaii,October 2023,Military Specific Occupations,55000000,52,21
Hawaii,October 2023,Office and Administrative Support Occupations,43000000,2,778,1,195
Hawaii,October 2023,Personal Care and Service Occupations,39000000,770,326
Hawaii,October 2023,Production Occupations,51000000,485,233
Hawaii,October 2023,Protective Service Occupations,33000000,679,336
Hawaii,October 2023,Sales and Related Occupations,41000000,2,448,1,035
Hawaii,October 2023,Transportation and Material Moving Occupations,53000000,1,656,678
Kauai County,October 2023,Architecture and Engineering Occupations,17000000,72,20
Kauai County,October 2023,Arts; Design; Entertainment; Sports; and Media Occ,27000000,31,13
Kauai County,October 2023,Building and Grounds Cleaning and Maintenance Occu,37000000,90,29
Kauai County,October 2023,Business and Financial Operations Occupations,13000000,53,20
Kauai County,October 2023,Community and Social Service Occupations,21000000,24,4
Kauai County,October 2023,Computer and Mathematical Occupations,15000000,73,40
Kauai County,October 2023,Construction and Extraction Occupations,47000000,25,8
Kauai County,October 2023,Educational Instruction and Library Occupations,25000000,22,3
Kauai County,October 2023,Farming; Fishing; and Forestry Occupations,45000000,2,0
Kauai County,October 2023,Food Preparation and Serving Related Occupations,35000000,197,49
Kauai County,October 2023,Healthcare Practitioners and Technical Occupations,29000000,299,109
Kauai County,October 2023,Healthcare Support Occupations,31000000,88,29
Kauai County,October 2023,Installation; Maintenance; and Repair Occupations,49000000,77,21
Kauai County,October 2023,Legal Occupations,23000000,1,0
Kauai County,October 2023,Life; Physical; and Social Science Occupations,19000000,19,4
Kauai County,October 2023,Management Occupations,11000000,133,49
Kauai County,October 2023,Military Specific Occupations,55000000,0,0
Kauai County,October 2023,Office and Administrative Support Occupations,43000000,140,41
Kauai County,October 2023,Personal Care and Service Occupations,39000000,80,27
Kauai County,October 2023,Production Occupations,51000000,24,5
Kauai County,October 2023,Protective Service Occupations,33000000,51,22
Kauai County,October 2023,Sales and Related Occupations,41000000,167,49
Kauai County,October 2023,Transportation and Material Moving Occupations,53000000,149,39
